name;description;price;quantity;image_id
ORANGE CINNAMON;Средняя свеча в стекле, Plantes & Parfums имбирный пряник, коричневый сахар, апельсин, корица, лимон';3150;13;1
ALEXANDRA;Большая свеча в металле, Flame Moscow пачули, клевер, мадагаскарская ваниль, мускус, сандал;3200;14;2
ALEXANDRA;Компактная свеча в стекле, Flame Moscow пачули, клевер, мадагаскарская ваниль, мускус, сандал;1350;15;3
ALISA;Компактная свеча в стекле, Flame Moscow ревень, гранат, яблоко;1350;16;4
AMBER & SMOKE;Большая свеча в аптекарской баночке, PaddyWax амбра, дым, сандал;4000;17;5
AMBRE INTENSE;Средняя свеча в стекле, Plantes & Parfums пачули, амбра, бергамот, герань, лимон;3150;18;6
ANNA;Компактная свеча в стекле, Flame Moscow белый мускус, бобы тонка, лаванда, лайм, лимон, петитгрейн;1350;18;7
APPLE PIE;Компактная свеча в стекле, ECHOES ваниль, карамель, корица, яблоко;2700;19;8
BAMBOO MINT;Большая свеча в стекле, KOBO Candles бамбук мосо, мята, яблоко;6800;19;9
BASIL & GREEN TEA;Большая свеча в стекле, ECHOES базилик, герань, зеленый чай, лимон, мускус, мята;6800;20;10
BERGAMOTTO DI CALABRIA;Огромная свеча в стекле, Cereria Molla 1899 бергамот, кардамон, лимон, сандал;47000;21;11